year,ratio,date,period,estimated_temp,upper limit,lower limit,observed temperature,urban bias was subtracted (Hikone),urban bias was subtracted (Kameoka)
1678,109,419,1600,5.40,6.06,4.75,-50.00,5.40,5.40
1679,114,424,1600,5.37,6.03,4.71,-50.00,5.37,5.37
1680,109,418,1600,5.24,5.91,4.57,-50.00,5.24,5.24
1681,110,420,1600,5.22,5.88,4.56,-50.00,5.22,5.22
1682,104,414,1600,5.19,5.85,4.53,-50.00,5.19,5.19
1683,108,418,1600,5.29,5.96,4.62,-50.00,5.29,5.29
1684,118,427,1600,5.41,6.12,4.70,-50.00,5.41,5.41
1685,106,416,1600,5.30,6.02,4.59,-50.00,5.30,5.30
1686,104,414,1600,5.21,5.92,4.50,-50.00,5.21,5.21
1687,104,414,1600,5.21,5.92,4.50,-50.00,5.21,5.21
1688,114,423,1600,5.29,6.00,4.58,-50.00,5.29,5.29
1689,97,407,1600,5.22,5.94,4.50,-50.00,5.22,5.22
1690,93,403,1600,5.28,6.00,4.55,-50.00,5.28,5.28
1691,103,413,1600,5.24,6.01,4.47,-50.00,5.24,5.24
1692,109,418,1600,5.17,5.93,4.41,-50.00,5.17,5.17
1693,107,417,1600,5.10,5.78,4.42,-50.00,5.10,5.10
1694,109,419,1600,5.13,5.81,4.45,-50.00,5.13,5.13
1695,120,430,1600,5.17,5.88,4.46,-50.00,5.17,5.17
1696,114,423,1600,5.16,5.90,4.42,-50.00,5.16,5.16
1697,111,421,1600,5.16,5.94,4.37,-50.00,5.16,5.16
1698,101,411,1600,5.19,5.95,4.43,-50.00,5.19,5.19
1699,97,407,1600,5.19,5.95,4.43,-50.00,5.19,5.19
1700,116,426,1700,5.27,6.03,4.52,-50.00,5.27,5.27
1701,112,422,1700,5.24,5.99,4.48,-50.00,5.24,5.24
1702,116,426,1700,5.33,6.07,4.58,-50.00,5.33,5.33
1703,103,413,1700,5.37,6.11,4.62,-50.00,5.37,5.37
1704,113,422,1700,5.49,6.23,4.75,-50.00,5.49,5.49
1705,109,419,1700,5.32,6.04,4.59,-50.00,5.32,5.32
1706,115,425,1700,5.32,6.12,4.52,-50.00,5.32,5.32
1707,111,421,1700,5.35,6.24,4.46,-50.00,5.35,5.35
1708,103,412,1700,5.39,6.29,4.49,-50.00,5.39,5.39
1709,106,416,1700,5.47,6.45,4.49,-50.00,5.47,5.47
1713,104,414,1700,5.60,6.32,4.87,-50.00,5.60,5.60
1714,108,418,1700,5.55,6.30,4.80,-50.00,5.55,5.55
1715,107,417,1700,5.47,6.29,4.65,-50.00,5.47,5.47
1716,110,419,1700,5.58,6.33,4.82,-50.00,5.58,5.58
1717,98,408,1700,5.61,6.32,4.91,-50.00,5.61,5.61
1718,102,412,1700,5.70,6.33,5.08,-50.00,5.70,5.70
1719,102,412,1700,5.70,6.36,5.04,-50.00,5.70,5.70
1720,114,423,1700,5.82,6.47,5.18,-50.00,5.82,5.82
1721,95,405,1700,5.86,6.47,5.24,-50.00,5.86,5.86
1722,100,410,1700,6.08,6.74,5.43,-50.00,6.08,6.08
1723,104,414,1700,6.19,6.82,5.56,-50.00,6.19,6.19
1724,99,408,1700,6.12,6.76,5.49,-50.00,6.12,6.12
1725,106,416,1700,6.06,6.73,5.40,-50.00,6.06,6.06
1726,116,426,1700,6.03,6.67,5.38,-50.00,6.03,6.03
1727,112,422,1700,5.98,6.61,5.35,-50.00,5.98,5.98
1728,104,413,1700,5.95,6.56,5.33,-50.00,5.95,5.95
1729,105,415,1700,6.01,6.62,5.39,-50.00,6.01,6.01
1731,104,414,1700,6.01,6.65,5.37,-50.00,6.01,6.01
1732,108,417,1700,6.10,6.73,5.46,-50.00,6.10,6.10
1733,107,417,1700,6.11,6.74,5.49,-50.00,6.11,6.11
1734,102,412,1700,6.13,6.76,5.49,-50.00,6.13,6.13
1735,101,411,1700,6.05,6.69,5.41,-50.00,6.05,6.05
1736,106,415,1700,6.16,6.77,5.55,-50.00,6.16,6.16
1737,93,403,1700,6.01,6.60,5.43,-50.00,6.01,6.01
1738,101,411,1700,6.05,6.68,5.42,-50.00,6.05,6.05
1739,110,420,1700,5.95,6.59,5.30,-50.00,5.95,5.95
1740,115,424,1700,5.76,6.44,5.08,-50.00,5.76,5.76
1741,109,419,1700,5.74,6.42,5.05,-50.00,5.74,5.74
1742,109,419,1700,5.78,6.48,5.09,-50.00,5.78,5.78
1743,108,418,1700,5.89,6.59,5.19,-50.00,5.89,5.89
1744,98,407,1700,5.85,6.55,5.14,-50.00,5.85,5.85
1745,105,415,1700,5.86,6.56,5.17,-50.00,5.86,5.86
1746,110,420,1700,6.01,6.73,5.28,-50.00,6.01,6.01
1747,101,411,1700,5.99,6.71,5.26,-50.00,5.99,5.99
1748,96,405,1700,5.95,6.69,5.21,-50.00,5.95,5.95
1749,100,410,1700,6.04,6.78,5.29,-50.00,6.04,6.04
1750,110,420,1700,6.00,6.74,5.25,-50.00,6.00,6.00
1751,103,413,1700,5.89,6.64,5.13,-50.00,5.89,5.89
1752,110,419,1700,5.94,6.69,5.18,-50.00,5.94,5.94
1753,96,406,1700,5.71,6.46,4.97,-50.00,5.71,5.71
1754,115,425,1700,5.67,6.41,4.94,-50.00,5.67,5.67
1755,120,430,1700,5.72,6.45,4.99,-50.00,5.72,5.72
1756,109,418,1700,5.82,6.53,5.11,-50.00,5.82,5.82
1757,112,422,1700,5.85,6.56,5.13,-50.00,5.85,5.85
1758,101,411,1700,5.93,6.64,5.21,-50.00,5.93,5.93
1759,109,419,1700,5.91,6.64,5.18,-50.00,5.91,5.91
1760,103,412,1700,5.90,6.61,5.18,-50.00,5.90,5.90
1761,89,330,1700,5.87,6.59,5.16,-50.00,5.87,5.87
1762,106,416,1700,5.93,6.64,5.21,-50.00,5.93,5.93
1763,112,422,1700,5.83,6.55,5.12,-50.00,5.83,5.83
1764,98,407,1700,5.83,6.56,5.10,-50.00,5.83,5.83
1765,106,416,1700,5.75,6.48,5.02,-50.00,5.75,5.75
1766,113,423,1700,5.93,6.75,5.12,-50.00,5.93,5.93
1767,101,411,1700,5.88,6.69,5.07,-50.00,5.88,5.88
1768,117,426,1700,5.94,6.74,5.14,-50.00,5.94,5.94
1769,105,415,1700,5.86,6.68,5.04,-50.00,5.86,5.86
1770,105,415,1700,5.92,6.67,5.17,-50.00,5.92,5.92
1771,104,414,1700,6.04,6.71,5.38,-50.00,6.04,6.04
1772,106,415,1700,6.08,6.74,5.42,-50.00,6.08,6.08
1773,100,410,1700,6.10,6.76,5.45,-50.00,6.10,6.10
1774,110,420,1700,6.05,6.70,5.41,-50.00,6.05,6.05
1775,99,409,1700,5.97,6.70,5.24,-50.00,5.97,5.97
1776,108,417,1700,6.00,6.72,5.29,-50.00,6.00,6.00
1777,104,414,1700,5.89,6.51,5.26,-50.00,5.89,5.89
1778,111,421,1700,5.89,6.51,5.26,-50.00,5.89,5.89
1779,96,406,1700,5.96,6.57,5.35,-50.00,5.96,5.96
1780,109,418,1700,5.82,6.43,5.21,-50.00,5.82,5.82
1781,91,401,1700,5.85,6.46,5.24,-50.00,5.85,5.85
1782,109,419,1700,6.00,6.61,5.38,-50.00,6.00,6.00
1783,103,413,1700,5.91,6.53,5.29,-50.00,5.91,5.91
1784,105,414,1700,6.04,6.62,5.46,-50.00,6.04,6.04
1785,108,418,1700,6.06,6.64,5.48,-50.00,6.06,6.06
1786,106,416,1700,6.06,6.64,5.48,-50.00,6.06,6.06
1787,105,415,1700,6.13,6.74,5.53,-50.00,6.13,6.13
1788,109,418,1700,6.10,6.71,5.49,-50.00,6.10,6.10
1789,106,416,1700,6.06,6.67,5.46,-50.00,6.06,6.06
1790,119,429,1700,6.22,6.87,5.57,-50.00,6.22,6.22
1791,99,409,1700,6.09,6.75,5.43,-50.00,6.09,6.09
1792,101,410,1700,6.02,6.71,5.32,-50.00,6.02,6.02
1793,106,416,1700,6.07,6.77,5.37,-50.00,6.07,6.07
1794,104,414,1700,6.11,6.80,5.41,-50.00,6.11,6.11
1795,113,423,1700,6.07,6.74,5.39,-50.00,6.07,6.07
1796,103,412,1700,6.06,6.74,5.38,-50.00,6.06,6.06
1797,97,407,1700,5.79,6.46,5.13,-50.00,5.79,5.79
1798,110,420,1700,5.81,6.48,5.14,-50.00,5.81,5.81
1799,103,413,1700,5.72,6.41,5.03,-50.00,5.72,5.72
1800,103,413,1800,5.66,6.37,4.96,-50.00,5.66,5.66
1801,105,415,1800,5.71,6.41,5.01,-50.00,5.71,5.71
1802,96,406,1800,5.67,6.39,4.96,-50.00,5.67,5.67
1803,110,420,1800,5.66,6.37,4.95,-50.00,5.66,5.66
1804,104,413,1800,5.69,6.41,4.98,-50.00,5.69,5.69
1805,93,403,1800,5.79,6.52,5.07,-50.00,5.79,5.79
1806,114,424,1800,5.88,6.60,5.16,-50.00,5.88,5.88
1807,116,426,1800,5.85,6.54,5.17,-50.00,5.85,5.85
1808,98,407,1800,5.81,6.48,5.13,-50.00,5.81,5.81
1809,107,417,1800,5.79,6.47,5.11,-50.00,5.79,5.79
1810,100,410,1800,5.70,6.41,4.99,-50.00,5.70,5.70
1811,110,420,1800,5.74,6.47,5.00,-50.00,5.74,5.74
1812,120,429,1800,5.76,6.47,5.05,-50.00,5.76,5.76
1813,107,417,1800,5.62,6.30,4.93,-50.00,5.62,5.62
1814,113,423,1800,5.60,6.32,4.88,-50.00,5.60,5.60
1815,111,421,1800,5.58,6.28,4.88,-50.00,5.58,5.58
1816,103,412,1800,5.48,6.20,4.76,-50.00,5.48,5.48
1817,110,420,1800,5.41,6.15,4.66,-50.00,5.41,5.41
1818,106,416,1800,5.31,5.98,4.64,-50.00,5.31,5.31
1819,106,416,1800,5.30,5.99,4.61,-50.00,5.30,5.30
1820,95,404,1800,5.23,5.92,4.53,-50.00,5.23,5.23
1821,109,419,1800,5.05,5.64,4.46,-50.00,5.05,5.05
1822,102,412,1800,5.07,5.68,4.47,-50.00,5.07,5.07
1823,106,416,1800,5.14,5.76,4.51,-50.00,5.14,5.14
1824,108,417,1800,4.94,5.57,4.32,-50.00,4.94,4.94
1825,114,424,1800,4.96,5.57,4.36,-50.00,4.96,4.96
1826,109,419,1800,4.90,5.45,4.35,-50.00,4.90,4.90
1827,100,410,1800,5.03,5.62,4.44,-50.00,5.03,5.03
1828,113,422,1800,5.15,5.71,4.58,-50.00,5.15,5.15
1829,112,422,1800,5.15,5.71,4.60,-50.00,5.15,5.15
1830,105,415,1800,5.25,5.82,4.69,-50.00,5.25,5.25
1831,114,424,1800,5.37,5.96,4.79,-50.00,5.37,5.37
1832,113,422,1800,5.34,5.92,4.76,-50.00,5.34,5.34
1833,107,417,1800,5.41,6.00,4.82,-50.00,5.41,5.41
1834,111,421,1800,5.46,6.09,4.84,-50.00,5.46,5.46
1835,112,422,1800,5.44,6.06,4.82,-50.00,5.44,5.44
1836,112,421,1800,5.37,6.03,4.72,-50.00,5.37,5.37
1837,111,421,1800,5.34,5.97,4.71,-50.00,5.34,5.34
1838,109,419,1800,5.34,6.02,4.65,-50.00,5.34,5.34
1839,120,430,1800,5.38,6.11,4.64,-50.00,5.38,5.38
1840,105,414,1800,5.44,6.22,4.66,-50.00,5.44,5.44
1841,107,417,1800,5.47,6.17,4.77,-50.00,5.47,5.47
1842,96,406,1800,5.48,6.16,4.79,-50.00,5.48,5.48
1843,106,416,1800,5.44,6.18,4.71,-50.00,5.44,5.44
1844,106,415,1800,5.47,6.14,4.80,-50.00,5.47,5.47
1845,102,412,1800,5.46,6.08,4.84,-50.00,5.46,5.46
1846,98,408,1800,5.50,6.18,4.83,-50.00,5.50,5.50
1847,107,417,1800,5.48,6.10,4.86,-50.00,5.48,5.48
1848,102,411,1800,5.44,6.05,4.82,-50.00,5.44,5.44
1849,100,410,1800,5.45,6.07,4.84,-50.00,5.45,5.45
1850,109,419,1800,5.58,6.23,4.94,-50.00,5.58,5.58
1851,102,412,1800,5.67,6.32,5.03,-50.00,5.67,5.67
1852,113,422,1800,5.77,6.41,5.14,-50.00,5.77,5.77
1853,102,412,1800,5.84,6.47,5.21,-50.00,5.84,5.84
1854,102,412,1800,5.87,6.50,5.25,-50.00,5.87,5.87
1855,101,411,1800,6.06,6.64,5.48,-50.00,6.06,6.06
1856,111,420,1800,6.07,6.65,5.49,-50.00,6.07,6.07
1857,108,418,1800,6.08,6.69,5.48,-50.00,6.08,6.08
1858,104,414,1800,6.01,6.58,5.45,-50.00,6.01,6.01
1859,110,420,1800,6.00,6.57,5.43,-50.00,6.00,6.00
1860,113,422,1800,6.03,6.60,5.46,-50.00,6.03,6.03
1861,100,410,1800,5.94,6.52,5.36,-50.00,5.94,5.94
1862,117,427,1800,5.89,6.45,5.33,-50.00,5.89,5.89
1863,118,428,1800,5.95,6.52,5.38,-50.00,5.95,5.95
1864,105,414,1800,5.96,6.54,5.37,-50.00,5.96,5.96
1865,97,407,1800,5.86,6.44,5.28,-50.00,5.86,5.86
1866,102,412,1800,5.83,6.41,5.26,-50.00,5.83,5.83
1867,101,411,1800,5.88,6.50,5.26,-50.00,5.88,5.88
1868,104,413,1800,5.93,6.51,5.35,-50.00,5.93,5.93
1869,105,415,1800,5.86,6.44,5.28,-50.00,5.86,5.86
1870,99,409,1800,5.76,6.35,5.17,-50.00,5.76,5.76
1871,104,414,1800,5.69,6.28,5.11,-50.00,5.69,5.69
1873,104,414,1800,5.72,6.29,5.15,-50.00,5.72,5.72
1874,107,417,1800,5.67,6.25,5.10,-50.00,5.67,5.67
1875,103,413,1800,5.79,6.38,5.20,-50.00,5.79,5.79
1876,111,420,1800,5.92,6.50,5.33,-50.00,5.92,5.92
1877,104,414,1800,5.78,6.39,5.17,-50.00,5.78,5.78
1878,101,411,1800,5.86,6.46,5.25,-50.00,5.86,5.86
1879,102,412,1800,6.04,6.64,5.45,-50.00,6.04,6.04
1880,110,419,1800,6.02,6.65,5.40,-50.00,6.02,6.02
1881,112,422,1800,5.94,6.51,5.37,-50.00,5.94,5.94
1882,97,407,1800,5.90,6.45,5.35,5.61,5.90,5.90
1883,107,417,1800,5.83,6.37,5.30,5.74,5.83,5.83
1884,109,418,1800,5.88,6.42,5.35,5.76,5.88,5.88
1885,113,423,1800,5.91,6.45,5.38,5.85,5.91,5.91
1886,108,418,1800,5.88,6.42,5.34,5.90,5.88,5.88
1887,109,419,1800,5.94,6.52,5.35,5.91,5.94,5.94
1888,107,416,1800,6.01,6.62,5.41,5.94,6.01,6.01
1889,109,419,1800,5.97,6.57,5.38,6.00,5.97,5.97
1890,98,408,1800,5.99,6.58,5.41,6.05,5.99,5.99
1891,99,409,1800,5.97,6.57,5.38,6.09,5.97,5.97
1892,115,424,1800,6.05,6.61,5.48,6.11,6.05,6.05
1893,109,419,1800,6.07,6.65,5.48,6.13,6.07,6.07
1894,98,408,1800,6.00,6.59,5.41,6.13,6.00,6.00
1896,106,415,1800,6.09,6.71,5.46,6.16,6.09,6.09
1897,106,416,1800,6.15,6.72,5.58,6.24,6.15,6.15
1898,108,418,1800,6.09,6.69,5.49,6.21,6.09,6.09
1899,99,409,1800,6.14,6.74,5.54,6.32,6.14,6.14
1900,102,412,1900,6.20,6.79,5.62,6.31,6.20,6.20
1901,102,412,1900,6.22,6.72,5.71,6.35,6.22,6.22
1902,98,408,1900,6.27,6.76,5.77,6.32,6.27,6.27
1903,99,409,1900,6.31,6.78,5.84,6.36,6.31,6.31
1904,108,417,1900,6.35,6.83,5.87,6.36,6.35,6.35
1905,105,415,1900,6.40,6.86,5.93,6.38,6.40,6.40
1906,105,415,1900,6.34,6.81,5.87,6.27,6.34,6.34
1907,103,413,1900,6.33,6.82,5.85,6.21,6.33,6.33
1908,102,411,1900,6.51,6.94,6.08,6.32,6.51,6.51
1909,108,418,1900,6.48,6.92,6.04,6.28,6.49,6.48
1910,104,414,1900,6.38,6.81,5.95,6.21,6.39,6.38
1911,98,408,1900,6.33,6.76,5.90,6.17,6.34,6.33
1912,105,414,1900,6.32,6.77,5.86,6.22,6.32,6.32
1913,103,413,1900,6.30,6.79,5.82,6.22,6.29,6.30
1914,102,412,1900,6.35,6.85,5.86,6.24,6.32,6.35
1915,102,412,1900,6.40,6.86,5.95,6.28,6.35,6.40
1916,112,421,1900,6.37,6.83,5.92,6.33,6.31,6.37
1917,103,413,1900,6.34,6.80,5.89,6.35,6.25,6.34
1918,104,414,1900,6.27,6.70,5.84,6.26,6.17,6.27
1920,104,413,1900,6.28,6.69,5.87,6.18,6.15,6.28
1922,101,411,1900,6.27,6.72,5.82,6.14,6.11,6.27
1923,97,407,1900,6.32,6.77,5.86,6.26,6.14,6.32
1924,111,420,1900,6.30,6.75,5.84,6.28,6.10,6.30
1925,108,418,1900,6.28,6.75,5.81,6.30,6.06,6.28
1926,108,418,1900,6.32,6.79,5.84,6.40,6.08,6.30
1927,107,417,1900,6.32,6.83,5.82,6.47,6.06,6.29
1928,107,416,1900,6.36,6.87,5.85,6.44,6.08,6.30
1929,103,413,1900,6.38,6.92,5.85,6.47,6.08,6.30
1930,95,405,1900,6.38,6.94,5.81,6.40,6.06,6.29
1931,105,415,1900,6.42,7.05,5.79,6.41,6.08,6.32
1932,105,414,1900,6.47,7.01,5.93,6.43,6.11,6.36
1933,106,416,1900,6.47,7.03,5.92,6.44,6.10,6.36
1934,104,414,1900,6.44,6.98,5.90,6.41,6.06,6.33
1935,102,412,1900,6.50,7.04,5.96,6.38,6.11,6.38
1936,111,420,1900,6.55,7.12,5.98,6.39,6.15,6.41
1937,100,410,1900,6.55,7.09,6.02,6.44,6.14,6.39
1938,98,408,1900,6.55,7.11,6.00,6.53,6.13,6.35
1939,104,414,1900,6.55,7.17,5.93,6.51,6.11,6.31
1940,110,419,1900,6.68,7.27,6.08,6.67,6.22,6.41
1941,100,410,1900,6.76,7.34,6.18,6.77,6.27,6.46
1942,96,406,1900,6.80,7.33,6.27,6.76,6.29,6.47
1943,101,411,1900,6.88,7.39,6.36,6.81,6.34,6.52
1944,100,409,1900,7.02,7.60,6.45,6.89,6.46,6.63
1946,97,407,1900,7.06,7.72,6.40,6.98,6.46,6.61
1947,107,417,1900,7.09,7.71,6.46,7.00,6.48,6.62
1948,102,411,1900,7.12,7.72,6.53,7.04,6.49,6.63
1949,107,417,1900,7.19,7.76,6.62,7.08,6.55,6.67
1950,99,409,1900,7.13,7.67,6.60,7.08,6.48,6.59
1951,98,408,1900,7.18,7.73,6.63,7.14,6.51,6.62
1952,105,414,1900,7.31,7.80,6.83,7.24,6.62,6.72
1953,101,411,1900,7.32,7.82,6.83,7.26,6.61,6.71
1954,98,408,1900,7.29,7.79,6.79,7.19,6.55,6.65
1955,97,407,1900,7.27,7.75,6.79,7.14,6.51,6.60
1956,99,408,1900,7.39,7.82,6.95,7.17,6.60,6.69
1957,103,413,1900,7.40,7.83,6.96,7.21,6.58,6.66
1958,99,409,1900,7.38,7.82,6.94,7.14,6.53,6.60
1959,92,402,1900,7.40,7.84,6.95,7.17,6.53,6.58
1960,95,404,1900,7.39,7.84,6.95,7.22,6.49,6.53
1961,99,409,1900,7.41,7.84,6.98,7.26,6.49,6.50
1962,102,412,1900,7.45,7.94,6.97,7.35,6.51,6.49
1963,101,411,1900,7.48,7.92,7.05,7.42,6.52,6.48
1964,99,408,1900,7.53,7.97,7.09,7.47,6.55,6.47
1965,110,420,1900,7.58,7.98,7.18,7.53,6.58,6.46
1966,97,407,1900,7.58,7.98,7.18,7.58,6.57,6.42
1967,97,407,1900,7.63,8.06,7.20,7.62,6.61,6.43
1968,99,408,1900,7.68,8.09,7.27,7.65,6.64,6.45
1969,101,411,1900,7.61,8.06,7.16,7.54,6.56,6.36
1970,107,417,1900,7.60,8.05,7.15,7.56,6.53,6.33
1971,98,408,1900,7.55,8.00,7.10,7.52,6.47,6.26
1972,99,408,1900,7.59,8.05,7.14,7.52,6.50,6.28
1973,97,407,1900,7.56,8.05,7.08,7.59,6.47,6.22
1974,99,409,1900,7.63,8.11,7.14,7.61,6.54,6.27
1975,100,410,1900,7.67,8.22,7.12,7.62,6.57,6.29
1976,99,408,1900,7.65,8.22,7.07,7.64,6.55,6.25
1977,93,403,1900,7.70,8.31,7.09,7.69,6.59,6.28
1978,104,414,1900,7.75,8.35,7.14,7.70,6.63,6.32
1979,97,407,1900,7.76,8.36,7.17,7.70,6.62,6.32
1980,102,411,1900,7.76,8.35,7.17,7.77,6.61,6.30
1981,99,409,1900,7.83,8.32,7.33,7.84,6.67,6.35
1982,93,403,1900,7.83,8.33,7.32,7.86,6.66,6.33
1983,99,409,1900,7.89,8.46,7.32,7.93,6.71,6.37
1984,109,418,1900,7.94,8.54,7.34,7.99,6.76,6.40
1985,99,409,1900,7.95,8.52,7.37,8.01,6.77,6.38
1986,102,412,1900,8.05,8.57,7.53,8.13,6.87,6.47
1987,95,405,1900,8.12,8.69,7.55,8.22,6.95,6.52
1988,106,415,1900,8.13,8.69,7.57,8.17,6.98,6.52
1989,93,403,1900,8.18,8.78,7.58,8.21,7.04,6.57
1990,88,329,1900,8.18,8.76,7.60,8.24,7.05,6.57
1991,97,407,1900,8.20,8.77,7.63,8.24,7.08,6.59
1992,94,403,1900,8.22,8.78,7.66,8.26,7.11,6.62
1993,97,407,1900,8.20,8.78,7.61,8.29,7.09,6.60
1994,99,409,1900,8.28,8.83,7.73,8.33,7.18,6.69
1995,99,409,1900,8.30,8.86,7.74,8.35,7.21,
1996,103,412,1900,,,,,,
1997,97,407,1900,,,,,,
1998,91,401,1900,,,,,,
1999,94,404,1900,,,,,,
2000,100,409,2000,,,,,,
2001,96,406,2000,,,,,,
2002,91,401,2000,,,,,,
2003,98,408,2000,,,,,,
2004,92,401,2000,,,,,,
2005,99,409,2000,,,,,,
2006,98,408,2000,,,,,,
2007,97,407,2000,,,,,,
2008,95,404,2000,,,,,,
2009,95,405,2000,,,,,,
2010,95,405,2000,,,,,,
2011,99,409,2000,,,,,,
2012,101,410,2000,,,,,,
2013,93,403,2000,,,,,,
2014,94,404,2000,,,,,,
2015,93,403,2000,,,,,,
2016,,404,2000,,,,,,
2017,,409,2000,,,,,,
2018,,330,2000,,,,,,
2019,,405,2000,,,,,,
2020,,401,2000,,,,,,
2021,,326,2000,,,,,,
